,COUNTRY,REGION,CATEGORY,MEASURE,COMMENTS,SOURCE,ENTRY_DATE,ISO_ALP_2
3251,Sri Lanka,Asia,Governance and socio-economic measures,economic measures,CSE declares 30th and 31st March as a market holiday,colombo page,2020-03-31,LK
3252,Sri Lanka,Asia,Governance and socio-economic measures,economic measures,Dialog Finance PLC Rights Issue 2020 dates to be revised again,colombo page,2020-03-31,LK
3253,Sri Lanka,Asia,Public health measures,strengthening the public health system,"Sri Lankan workers at the frontline of battling the COVID-19 outbreak received close to half a million serves of food and beverage products from Nestl, worth Rs. 15 million. The products were donated to the National Operations Center for Prevention of COVID-19 for distribution to medical workers, armed forces and others, in support of the critical work they do.",colombo page,2020-03-31,LK
3254,Sri Lanka,Asia,Governance and socio-economic measures,economic measures,"The Central Bank on 27th March 2020 announced a series of wide-ranging financial concessions to alleviate the hardships businesses are facing owing to the impact of Covid-19. The concessions are applicable to the entire gamut of organizations ranging from large corporate to self-employed individuals, and particularly to export-related enterprises.",colombo page,2020-03-31,LK
3255,Sri Lanka,Asia,Movement restrictions,curfews,"Curfew to continue in six districts until further notice, will be lifted in others on April 1. The curfew in force in the districts of Colombo, Gampaha, Kalutara, Puttalam, Kandy and Jaffna will continue until further notice, President?s Media Division announced. In all other districts, the curfew re-imposed at 2:00 pm Monday will be lifted at 6:00 am Wednesday, April 01.",colombo page,2020-03-31,LK
3256,Sri Lanka,Asia,Governance and socio-economic measures,economic measures,Large contributions for COVID-19 Healthcare and Social Security Fund,colombo page,2020-03-31,LK
3257,Sri Lanka,Asia,Movement restrictions,curfews,"No ad-hoc decisions at regional level regarding curfew and isolating areas, President Instructs",colombo page,2020-03-31,LK
3258,Sri Lanka,Asia,Governance and socio-economic measures,economic measures,"Every Samurdhi family to receive Rs. 10,000 ? Samurdhi Department DG",newslk,2020-03-31,LK
3259,Sri Lanka,Asia,Governance and socio-economic measures,economic measures,Factory owners requested to pay FTZ workers? March salaries,colombo page,2020-03-31,LK
3260,Sri Lanka,Asia,Public health measures,introduction of isolation and quarantine policies,People who arrived in the country from overseas from March 16 onwards are required to register themselves with the nearest police station before 12 noon on April 1 to continue with their self-quarantine process.,colombo page,2020-03-31,LK
3261,Sri Lanka,Asia,Governance and socio-economic measures,economic measures,Sri Lanka government grants more concessions to public affected by COVID-19 pandemic,colombo page,2020-03-31,LK
3262,Sri Lanka,Asia,Movement restrictions,curfews,Roadblocks set up in Sri Lankan capital Colombo to prevent spread of COVID-19,colombo page,2020-03-31,LK
3263,Nicaragua,Americas,Public health measures,awareness campaigns,"Chamber of Industry warns of the alcohol gel that Nicaraguans are buying and asks Minsa to expedite permits to laboratories. So far, Minsa has not called on the local pharmaceutical laboratory industry to discuss a plan to produce alcohol gel on a larger scale. The question that the sector has is who is supplying these artisan companies with the alcohol to produce these gels if they do not have government permission",la prensa,2020-03-31,NI
3264,Nicaragua,Americas,Movement restrictions,Border closure,Discretionality prevails in sudden and momentary closings on the southern border of Nicaragua.Nicaraguan government generates uncertainty on the Pe¤as Blancas border due to improvised restrictions,la prense,2020-03-31,NI
3265,Nicaragua,Americas,Governance and socio-economic measures,economic measures,"Coronavirus Threatens To Wreak Havoc On 123,000 Zona Franca Jobs In Nicaragua",today nicaragua,2020-03-31,NI
3266,Uruguay,Americas,Governance and socio-economic measures,economic measures,Creation of a 'coronavirus fund' aimed at financing the public response to the crisis. ,government ? uruguay,2020-03-31,UY
3267,Uruguay,Americas,Governance and socio-economic measures,economic measures,Delivery of basic food supply to households in needs. ,government ? uruguay,2020-03-31,UY
3268,Uruguay,Americas,Movement restrictions,domestic travel restrictions,"Reduction in public transports, especially during week-ends. ",government ? uruguay,2020-03-31,UY
3269,Venezuela,Americas,Governance and socio-economic measures,emergency administrative structures activated or established,The council of state declares itself in permanent session to coordinate the covid-19 response.,government ? venezuela,2020-03-31,VE
3270,Venezuela,Americas,Public health measures,strengthening the public health system,"Distribution of 3500 protection kits for the health workers of 5 hospitals. Measure taken by the government of Juan Guaido, which disputes presidency with that of Nicolas Maduro.",government ? venezuela,2020-03-31,VE
3271,Venezuela,Americas,Public health measures,awareness campaigns,"Measure taken by the government of Juan Guaido, which disputes presidency with that of Nicolas Maduro.",government ? venezuela,2020-03-31,VE
3272,Venezuela,Americas,Governance and socio-economic measures,economic measures,"Economic funds to support the work of International NGOs in Venezuela. Measure taken by the government of Juan Guaido, which disputes presidency with that of Nicolas Maduro.",government ? venezuela,2020-03-31,VE
3273,Uganda,Africa,Social distancing,Public services closure,"Shopping malls, arcades, hardware shops (selling non-food items) are closed for 14 days as well as any shops selling non-essential items. Only food stores, stores selling agricultural products, veterinary products, detergents and pharmaceuticals should remain open. ",president press conference,2020-03-31,UG
3274,Uganda,Africa,Lockdown,partial lockdown,"14 day lockdown announced. All people to people movement by everybody including those using their private vehicles, bodabodas, tuk-tuks, etc is prohibited.",president press conference,2020-03-31,UG
3275,Argentina,Americas,Governance and socio-economic measures,economic measures,"Government suspends bank account closure as well as water, electricity and gaz closure due to lack of payment.",moh,2020-03-31,AR
3276,Uganda,Africa,Social distancing,limit public gatherings,"Food market sellers may not return home during the 14 day lockdown, they must find accomodation close to their food stall (if they wish to continue to operate it).",president press conference,2020-03-31,UG
3277,Uganda,Africa,Social distancing,Public services closure,"Saloons, Lodges and garages should also be shut for 14 days from the 1st of April, 2020.",president press conference,2020-03-31,UG
3278,Uganda,Africa,Social distancing,limit public gatherings,"factory owners arrange for the crucial employees to camp around the factory area for the 14 days. If they cannot do that, let them suspend production for 14 days.",president press conference,2020-03-31,UG
3279,Uganda,Africa,Social distancing,limit public gatherings,"Construction sites should continue if they can be able to encamp their workers for 14 days. Otherwise, they should suspend construction for the 14 days.",president press conference,2020-03-31,UG
3280,Uganda,Africa,Social distancing,limit public gatherings,"Cargo transport by train, plane, lorry, pick-up, tuku-tukus, bodaboda and bicycle, within Uganda and between Uganda and the outside, must continue but only with minimum numbers",president press conference,2020-03-31,UG
3281,Uganda,Africa,Social distancing,limit public gatherings,Gatherings of more than 5 persons are hereby prohibited.,president press conference,2020-03-31,UG
3282,Uganda,Africa,Movement restrictions,curfews,"There will be a curfew throughout the whole of Uganda from 19:00-06:30 with the exception of the movement of cargo planes, lorries, pick-ups and trains.",president press conference,2020-03-31,UG
3283,Uganda,Africa,Governance and socio-economic measures,emergency administrative structures activated or established,"to deal with some unavoidable health issues like mothers in child birth or very sick people, permission can be sought from the RDC to use private transport to take such a person to hospital.",president press conference,2020-03-31,UG
3284,Uganda,Africa,Governance and socio-economic measures,emergency administrative structures activated or established,"government vehicles that do not belong to UPDF, Police, Prisons or UWA, will be pooled and deployed at the District Health Offices, including the divisions of Kampala, with their drivers, staying in tented compounds, ready to help in those health emergencies. Those vehicles will be under the command of the District Medical Officer.",president press conference,2020-03-31,UG
3285,Gambia,Africa,Governance and socio-economic measures,state of emergency declared,Gambia declared state of emergency,journal du cameroon,2020-03-31,GM
3286,Gambia,Africa,Social distancing,Public services closure,"closure of all non-essential shops, bars, cafs, casinos, sporting  venues, and all forms of public gatherings.",journal du cameroon,2020-03-31,GM
3287,Gambia,Africa,Social distancing,limit public gatherings,ordered all public and private institutions to minimise staff reporting  to work with immediate effect. ,journal du cameroon,2020-03-31,GM
3288,Eritrea,Africa,Social distancing,Public services closure,"Bars, restaurants, cafs and other service outlets that cater to sizeable clients will be closed for 14 days from 6:00 a.m. tomorrow, 31st March 2020.  All employees of these enterprises will not be laid off and their full salary for  the period in question will be borne by the employer.",ministry of health,2020-03-31,ER
3289,Eritrea,Africa,Governance and socio-economic measures,economic measures,"Payment of electricity, water and telephone household bills will be postponed.",ministry of health,2020-03-31,ER
3290,Eritrea,Africa,Social distancing,limit public gatherings,All court sessions ? at all levels ? will be postponed until further notice.,ministry of health,2020-03-31,ER
3291,Eritrea,Africa,Movement restrictions,international flights suspension,Commercial passenger flights to and from Eritrea will be banned.,ministry of health,2020-03-31,ER
3292,Eswatini,Africa,Social distancing,limit public gatherings,Public transport will onlt operate between 05:00-09:00 and 15:00-19:00 for the duration of the lockdown.,eswatini government,2020-03-31,SZ
3293,Eswatini,Africa,Governance and socio-economic measures,economic measures,Government sets the price of handsanitizers to a proce not exceeding E150 per litre.,eswatini government,2020-03-31,SZ
3294,United Arab Emirates,Middle East,Movement restrictions,visa restrictions,Residency visas and Emirates ID to be automatically extended for three months for free (only for those whose visa and ID expired from 1 March).,international sos,2020-01-04,AE
3295,Mauritius,Africa,Movement restrictions,visa restrictions,Any foreign national having resided in china or with a history of travel to and from china within the last 14 days will not be allowed entry or transit in the republic of  Mauritius. ,mauritius mohw,2020-01-04,MU
3296,Mauritius,Africa,Public health measures,introduction of isolation and quarantine policies,"Mauritian nationals, residents, their spouse and children coming from china or having travelled through china within the last 14 days will be allowed entry in the republic of Mauritius and will be placed in quarantine.",mauritius mohw,2020-01-04,MU
3297,Mauritius,Africa,Movement restrictions,visa restrictions,"Passengers who traveled to South Korea, the 3 provinces in Italy with COVID-19?Lombardy, Veneto, and Emilia Romagna--in the past 14 days are not authorized to enter Mauricien territory. ",mauritius mohw,2020-01-04,MU
3298,Mauritius,Africa,Public health measures,introduction of isolation and quarantine policies,"Mauritians from South Korea, the 3 provinces in Italy with COVID-19?Lombardy, Veneto, and Emilia Romagna?will automatically be placed in quarantine. Passengers from Japan and Singapore who present symptoms, especially fever and cough, will be placed in quarantine. ",mauritius mohw,2020-01-04,MU
3299,Mauritius,Africa,Movement restrictions,visa restrictions,Any passenger who traveled through Italy (no longer limited to the 3 provinces) and Iran are not authorized to enter Mauritian territory. ,mauritius mohw,2020-01-04,MU
3300,Mauritius,Africa,Public health measures,introduction of isolation and quarantine policies,Mauritian citizens and residency who traveled through Italy (no longer limited to the 3 provinces) and Iran will be placed in automatic quarantine. ,mauritius mohw,2020-01-04,MU
3301,Mauritius,Africa,Public health measures,awareness campaigns,"First post on the Coronavirus Moris Facebook page is dated March 16. It is run by the government as a way to spread information. They also confirm 0 cases of Coronavirus so far in Mauritius as of March 16. Also a COVID-19 Information Hotline. They post daily with information, updates, or good practices for preventing the spread of COVID-19. ",mauritius mohw coronavirus moris fb page,2020-01-04,MU
3302,Mauritius,Africa,Public health measures,strengthening the public health system,6 quarantine centers in Mauritius ,mauritius mohw coronavirus moris fb page,2020-01-04,MU
3303,Mauritius,Africa,Public health measures,awareness campaigns,?How to wash your hands well? video ,mauritius mohw coronavirus moris fb page,2020-01-04,MU
3304,Mauritius,Africa,Public health measures,introduction of isolation and quarantine policies,"Maurician citizens and residents will not be included in the travel ban, but will be placed into quarantine upon arrival. ?Les passagers mauriciens et rsidents mauriciens sortant des rgions mentionnes ne seront pas concerns par l?interdiction d?entre sur le territoire mauricien. Ils seront toutefois automatiquement placs en quarantaine ds leur arrive  Maurice.?",mauritius mohw,2020-01-04,MU
3305,Eswatini,Africa,Movement restrictions,surveillance and monitoring,"Any person who intentionally exposes another person to COVID-19 may be prosecuted for an offence, including assault, attempted murder or murder.",eswatini government gazette extroardinary,2020-01-04,SZ
3306,Eswatini,Africa,Movement restrictions,surveillance and monitoring,It is an offence to spread rumours or unauthentic information of covid-19. Such doing may result in a large fine of up to 5 years imprisonment.,eswatini government,2020-01-04,SZ
3307,Botswana,Africa,Governance and socio-economic measures,state of emergency declared,Unknown,ministry of health,2020-01-04,BW
3308,Botswana,Africa,Governance and socio-economic measures,economic measures,"Government will provide a wage subsidy for citizen employees of businesses mostly affected by COVID-19, to enable them to retain employees.",ministry of health,2020-01-04,BW
3309,Botswana,Africa,Governance and socio-economic measures,economic measures,To give businesses some cash-flow relief Government will do the following; Guarantee loans by commercial banks to businesses mostly affected by COVID-19; Give eligible businesses affected by COVID-19 access to credit to support ongoing operations in conditions where credit becomes more difficult to obtain and; Give tax concessions to businesses in eligible sectors.,ministry of health,2020-01-04,BW
3310,Kenya,Africa,Governance and socio-economic measures,emergency administrative structures activated or established,President Uhuru Kenyatta Monday directed the National Treasury to set up an emergency response fund overseen by a 10-member board committee to bolster the country?s countermeasures against COVID-19.,capital business,2020-01-04,KE
3311,Ethiopia,Africa,Social distancing,limit public gatherings,Ethiopia cancels parliamentary polls.,aa,2020-01-04,ET
3312,Argentina,Americas,Movement restrictions,surveillance and monitoring,Every person entering the country must use the mobile app COVID-19  for  minimum of 14 days.,moh,2020-01-04,AR
3313,Argentina,Americas,Movement restrictions,Border closure,Border closure is extended until 31st of March.,moh,2020-01-04,AR
3314,Botswana,Africa,Lockdown,partial lockdown,All individuals across the country will be expected to adhere to a more severe form of social distancing where movement out of the home is only restricted to those performing essential services and transporting essential goods. Those involved will be permitted to travel using the COVID-19 TRAVEL PERMIT that will be issued by Government.,ministry of health,2020-01-04,BW
3315,Mauritius,Africa,Movement restrictions,visa restrictions,"Anyone who has travelled through Europe, including the UK, Norway, and Switzerland, in the past 14 days, will not be allwed to enter Mauritian territory. ?Tout tranger sortant de, ou ayant transit par le territoire Europen, incluant le Royaume Uni, la Norvge et la Suisse, lors de ces 14 derniers jours, ne sera pas autoris  entrer dans le territoire mauricien  partir du mercredi 18 mars 2020, 20 heures GMT.?",mauritius mohw,2020-01-04,MU
3316,Mauritius,Africa,Social distancing,Schools closure,All educational establishments will be closed from 19 March. ,mauritius mohw coronavirus moris fb page,2020-01-04,MU
3317,Mauritius,Africa,Lockdown,partial lockdown,Lockdown (?confinement?) beginning 0600 on 20 March and for 2 weeks (until April 4). A later post on their FB page clarified ?Confinement means Stay Home?. ,mauritius mohw coronavirus moris fb page,2020-01-04,MU
3318,Mauritius,Africa,Movement restrictions,curfews,"Curfew imposed from 23 March at 20:00 until 2 April at 20:00. Only those providing essential services and who have a permit will be able to travel. Workplace Access Permits required during curfew, as enforced by the Mauritius Police. Implementing restricted areas. ",mauritius mohw coronavirus moris fb page,2020-01-04,MU
3319,Mauritius,Africa,Movement restrictions,curfews,Handicap individuals and persons over 60 years of age will now be the only ones allowed in supermarkets between 0900 and 1000 hrs. Adjusted (read: shorter) hours on the opening hours of other facilities open during confinement. ,mauritius mohw coronavirus moris fb page,2020-01-04,MU
3320,Mauritius,Africa,Public health measures,general recommendations,If you have light symptoms stay home and self-isolate. ,mauritius mohw coronavirus moris fb page,2020-01-04,MU
3321,Mauritius,Africa,Movement restrictions,curfews,"Supermarkets, stores, and cafes will be closed from 25 March to 31 March. If you break curfew, you have to pay 500 roupie and 6 months in prison. ",mauritius mohw coronavirus moris fb page,2020-01-04,MU
3322,Mauritius,Africa,Public health measures,strengthening the public health system,New hospital will start accepting patients who test positive for COVID-19. ,mauritius mohw coronavirus moris fb page,2020-01-04,MU
3323,Mauritius,Africa,Movement restrictions,curfews,Announced that the curfew (lockdown) will be extended until 15 April at 20:00 hrs. ,mauritius mohw coronavirus moris fb page,2020-01-04,MU
3324,Bolivia,Americas,Governance and socio-economic measures,emergency administrative structures activated or established,The MoH takes control over Departemental Health Services (SEDES) to better coordinate the response at the national level.,government ? bolivia,2020-01-04,BO
3325,Bolivia,Americas,Governance and socio-economic measures,economic measures,Electricity bill will be payed for 3 month by the government (up to Bs120). Water bills will be payed at 50% during the same period. ,unknown,2020-01-04,BO
3326,Palestine,Middle East,Public health measures,strengthening the public health system,The UN Relief and Works Agency (UNRWA) in the Gaza Strip began on March 18 placing patients with respiratory diseases in Gaza schools that the UNRWA converted into medical clinics. ,al-monitor,2020-01-04,PS
3327,Bolivia,Americas,Governance and socio-economic measures,economic measures,Distribution of basic food supply to populations in need. Additional payment of Bs400 to those in need.,government ? bolivia,2020-01-04,BO
3328,Bolivia,Americas,Governance and socio-economic measures,economic measures,"Distribution of Bs500 per child to families in need, and which childs are in primary of secondary schools.",government ? bolivia,2020-01-04,BO
3329,Bolivia,Americas,Lockdown,partial lockdown,Extension of the lockdown to april 15th.,government ? bolivia,2020-01-04,BO
3330,Bolivia,Americas,Movement restrictions,domestic travel restrictions,"No public and private vehicule are allowed to circulate, with exception of health vehicules and commodity suppliers.",government ? bolivia,2020-01-04,BO
3331,Argentina,Americas,Governance and socio-economic measures,economic measures,Every healh worker will receive a economic bonus of 5000 AR$.,moh,2020-01-04,AR
3332,Argentina,Americas,Governance and socio-economic measures,economic measures,Every security and defence worker will receive a economic bonus of 5000 AR$.,moh,2020-01-04,AR
3333,Argentina,Americas,Governance and socio-economic measures,economic measures,Rent payments and eviction for non-payments are suspended.,moh,2020-01-04,AR
3334,Argentina,Americas,Governance and socio-economic measures,state of emergency declared,State of emergency extended until 12th of April.,foreign ministry ? uk,2020-01-04,AR
3335,Argentina,Americas,Lockdown,partial lockdown,Lockdown and forced quarantine extended until 12th of april.,foreign ministry ? uk,2020-01-04,AR
3336,Argentina,Americas,Movement restrictions,Border closure,Country?s borders are closed for all those entering from 27-31 March.,foreign ministry ? uk,2020-01-04,AR
3337,Benin,Africa,Governance and socio-economic measures,military deployment,Quarantine areas will be guarded by defence and security forces to ensure that quarantine regulations are strictly adhered to.,foreign ministry ? uk,2020-01-04,BJ
3338,Marshall Islands,Pacific,Public health measures,general recommendations,Marshalls worried for seafarers caught up in Covid-19 restrictions. The country's international shippingregistry said it had received numerous complaints from seafarers that the prevention of them being able to return home was adding to their emotional stress and adversely affecting their well-being.,rnz,2020-01-04,MH
3339,Nauru,Pacific,Public health measures,strengthening the public health system,"Taiwan funding Nauru's procurement of a second thermal imaging scanner to check incoming passengers for fever. Australia had provided about $US60,000 for the purchase of COVID-19 testing kits",rnz,2020-01-04,NR
3340,Nauru,Pacific,Public health measures,introduction of isolation and quarantine policies,All ships must spend 14 days at sea without contact with other vessels before entering Nauru's port.,rnz,2020-01-04,NR
3341,Palau,Pacific,Public health measures,health screenings in airports and border crossings,"Health screenings continue at Palau airport for Caroline Island Air, private and charter flights",moh palau,2020-01-04,PW
3342,Palau,Pacific,Public health measures,health screenings in airports and border crossings,Health screenings continue at Malakal seaport for incoming vessels,moh palau,2020-01-04,PW
3343,Vanuatu,Pacific,Social distancing,limit public gatherings,"The public is no longer allowed to congregate or sit in kava bars, and they must close by 7:30 pm. Meanwhile, restaurants in the capital, Port Vila, will no longer be allowed to have dine-in customers. Takeaway food will still be available.",rnz,2020-01-04,VU
3344,Vanuatu,Pacific,Governance and socio-economic measures,economic measures,The mayor of Vanuatu's Luganville says he will shut down any shops that increase their prices during the current State of Emergency.,rnz,2020-01-04,VU
3345,Vanuatu,Pacific,Governance and socio-economic measures,economic measures,Vanuatu's caretaker prime minister has announced a $US32 million stimulus package to support the country's economy during the Covid-19 global pandemic.,rnz,2020-01-04,VU
3346,Tonga,Pacific,Movement restrictions,curfews,"Night time curfews will apply during the lockdown period, from 8:00pm to 6:00am to be enforced by Tonga Police and His Majesty's Armed Forces.",matangi tonga,2020-01-04,TO
3347,Tonga,Pacific,Movement restrictions,domestic travel restrictions,"Under lockdown, all domestic public transportation will cease, except for those exempted.",matangi tonga,2020-01-04,TO
3348,Tonga,Pacific,Movement restrictions,Border closure,All international cruise ships and yachts scheduled to arrive after March 19th 2020 shall be denied entry into Tonga until further notice,tonga govt,2020-01-04,TO
3349,Tonga,Pacific,Social distancing,limit public gatherings,All public facilities and gatherings are prohibited.,matangi tonga,2020-01-04,TO
3350,Tonga,Pacific,Social distancing,limit public gatherings,All public facilities and gatherings are prohibited including marriages and birthday celebrations,matangi tonga,2020-01-04,TO
3351,Tonga,Pacific,Social distancing,limit public gatherings,"All persons shall be required to isolate at home unless for the purpose of purchasing or supplying essential consumer goods, obtaining medical supplies or seeking medical assistance, access to banking and financial services.",matangi tonga,2020-01-04,TO
3352,Tonga,Pacific,Movement restrictions,international flights suspension,Flight diversion order continues to 4 April,matangi tonga,2020-01-04,TO
3353,Solomon Islands,Pacific,Movement restrictions,international flights suspension,The Solomon Islands prime minister Manasseh Sogavare has suspended all international flights into the country indefinitely,rnz,2020-01-04,SB
3354,Solomon Islands,Pacific,Social distancing,Public services closure,"all night-clubs, kava bars and casinos in the capital to close but said churches would be allowed to remain open at least for the coming weekend to ""bring the nation closer to God"".",rnz,2020-01-04,SB
3355,Solomon Islands,Pacific,Governance and socio-economic measures,emergency administrative structures activated or established,Honiara declared an emergency zone and all people with nothing to do advised to return to their villages,rnz,2020-01-04,SB
3356,Solomon Islands,Pacific,Social distancing,Schools closure,"The Solomon Islands government has extended a school closure notice, previously only for institutions in the capital Honiara and Guadalcanal, to the rest of the country with a tentative return date set for the 27th of April.",rnz,2020-01-04,SB
3357,Samoa,Pacific,Public health measures,strengthening the public health system,The World Bank has delivered over $US5 million in funding to support Samoa's response to the global Covid-19 pandemic. Samoa currently has no confirmed cases of the coronavirus but a State of Emergency is in place across the country.,rnz,2020-01-04,WS
3358,Samoa,Pacific,Movement restrictions,international flights suspension,"Except in exceptional circumstances with Cabinet approval, starting from 12am of Thursday morning, 26 March 2020, all international travel to and from Samoa by plane are ceased.",samoa government,2020-01-04,WS
3359,Samoa,Pacific,Social distancing,Public services closure,"There shall be no selling of any goods beside roads, street, culverts or footpaths. Children selling goods in public is strictly prohibited.",samoa government,2020-01-04,WS
3360,Nepal,Asia,Movement restrictions,international flights suspension,Extension: international flight suspension until April 17th,nepal immigration,2020-01-04,NP
3361,Nepal,Asia,Lockdown,partial lockdown,The Nepal government decided on Sunday to extend its national lockdown by another week till midnight 7 April,nepali times,2020-01-04,NP
3362,Nepal,Asia,Public health measures,introduction of isolation and quarantine policies,The Coronavirus Control High-level Task Force has also warned that the Home Ministry will enforce a law to imprison those who return from abroad not staying in quarantine for 14 days. The penalty for non-compliance is up to six months in jail.,nepali times,2020-01-04,NP
3363,Nepal,Asia,Governance and socio-economic measures,economic measures,Nepal COVID-19 relief package announced,nepali times,2020-01-04,NP
3364,Papua New Guinea,Pacific,Governance and socio-economic measures,emergency administrative structures activated or established,PNG govt to recall Parliament to pass emergency legislation. Opposition leader Belden Namah warned that the state of emergency had no legal foundation until Parliament legislates a legal basis for the measures.,rnz,2020-01-04,PG
3365,Angola,Africa,Public health measures,awareness campaigns,the Inter-ministerial Commission for the prevention and combat of the pandemic will open bank accounts for collecting donations for individual and collective assistance in a campaign called 'Juntos por Angola',angop,2020-01-04,AO
3366,Angola,Africa,Public health measures,strengthening the public health system,Tanker trucks to assure water supply in Luanda. The official also informed that the emergency plan for free water distribution will cover the other provinces of the country.,angop,2020-01-04,AO
3367,Angola,Africa,Public health measures,strengthening the public health system,The Health minister said that as from Sunday (29th) gained the capacity to effect 50 to 100 Covid-19 tests a day.,angop,2020-01-04,AO
3368,Angola,Africa,Public health measures,strengthening the public health system,"The municipality of Cuito, capital of the province of Bi, will have this week a Treatment Center for patients infected with COVID-19, with a capacity for 30 beds, located in the Cavanga II district.",angop,2020-01-04,AO
3369,Libya,Africa,Public health measures,strengthening the public health system,Distribution of 50 vehicles with sterilisation equipment,the libya observer,2020-04-01,LY
3370,Libya,Africa,Lockdown,full lockdown,Only health personell and officials are allowed to leave their home for a week,the libya observer,2020-04-01,LY
3371,Angola,Africa,Public health measures,strengthening the public health system,"The medical goods for the prevention and treatment of COVID-19, in the country, are subject to the regulated price regime, says the press release from last Friday Council of Ministers Session.",angop,2020-04-01,AO
3372,Libya,Africa,Public health measures,strengthening the public health system,Preparation of further isolation sites,the libya observer,2020-04-01,LY
3373,Libya,Africa,Public health measures,strengthening the public health system,Ministry of Health calls on all medical professionals to step-up and support the Covid-19 response,the libya observer,2020-04-01,LY
3374,Libya,Africa,Public health measures,strengthening the public health system,Special training of 20 doctors implemented in Covid-19 response,the libya observer,2020-04-01,LY
3375,Libya,Africa,Public health measures,general recommendations,"National monitoring and response network urges people ""stay at home""",the libya observer,2020-04-01,LY
3376,Libya,Africa,Movement restrictions,curfews,6pm to 6am curfew set by government; adapted on 30.03.2020 to 14.00 to 07.00 and work hours limited from 9.00-12.00,the libya observer,2020-04-01,LY
3377,Libya,Africa,Movement restrictions,domestic travel restrictions,"The Presidential Council also prohibited travel among cities, except for health reasons and for government and public services of urgent matter.",the libya observer,2020-04-01,LY
3378,Libya,Africa,Social distancing,Public services closure,"It also ordered the closure of restaurants, cafes and party halls ",middle east eye,2020-04-01,LY
3379,Libya,Africa,Social distancing,limit public gatherings,Ban of funeral and wedding ceremonies.,middle east eye,2020-04-01,LY
3380,Liechtenstein,Europe,Governance and socio-economic measures,economic measures,Portal established collecting information of restaurants with delivery service to support the continuation of their business,liechtenstein tourism,2020-04-01,LI
3381,Liechtenstein,Europe,Public health measures,strengthening the public health system,Drive-through counter with testing of persons staying in their cars possible,government,2020-04-01,LI
3382,Lithuania,Europe,Public health measures,psychological assistance and medical social work,Hotline with professional mental health support established for both health professionals and the general public,ministry of health,2020-04-01,LT
3383,Lithuania,Europe,Movement restrictions,international flights suspension,All passenger air and ferry travel suspended,lithuanian radio and television,2020-04-01,LT
3384,Lithuania,Europe,Social distancing,Public services closure,Hotels in three specific town banned from housing tourists to avoid spread,lithuanian radio and television,2020-04-01,LT
3385,Lithuania,Europe,Governance and socio-economic measures,economic measures,Allocation of 4.5 million euros to support the country's cultural workers,lithuanian radio and television,2020-04-01,LT
3386,Lithuania,Europe,Public health measures,strengthening the public health system,Vilnius Municipality will open two so-called fever clinics reserved for patients who are possibly infected with Covid-19,lithuanian radio and television,2020-04-01,LT
3387,Lithuania,Europe,Public health measures,strengthening the public health system,Coordination with 140 Lithuanian companies to produce the necessary medical and protective equipment against Covid-19,lithuanian radio and television,2020-04-01,LT
3388,Lithuania,Europe,Governance and socio-economic measures,economic measures,The government is doubling the financial support to maintain business liquidity from 500 million to more than 1 billion euros.,lithuanian radio and television,2020-04-01,LT
3389,Lithuania,Europe,Public health measures,testing policy,"Of people with symptoms: Immediate testing of risk group (elderly of 60+, chronic diseases) and not at-risk group tested based on GP referral; entire health workforce will be tested",lithuanian radio and television,2020-04-01,LT
3390,Luxembourg,Europe,Public health measures,psychological assistance and medical social work,Psychological help-hotline implemented,ministry of health,2020-04-01,LU
3391,Luxembourg,Europe,Public health measures,strengthening the public health system,"Four additional ""advanced care centres"" were opened with a triage system for people with and without symptoms of Covid-19",ministry of health,2020-04-01,LU
3392,Luxembourg,Europe,Public health measures,strengthening the public health system,"Alternatives established to traditional doctor visit for non-Covid-19 patients, particularly the elderly, with home-visits of GPs and telemedicine options",ministry of health,2020-04-01,LU
3393,Luxembourg,Europe,Governance and socio-economic measures,economic measures,Simplification of short-term work application for employers to sustain employee base,agency for the development of employment (adem),2020-04-01,LU
3394,Luxembourg,Europe,Governance and socio-economic measures,economic measures,Abolition of the 2020 subscription on main online shop in Luxembourg to support SMEs,directorate general of the middle classes,2020-04-01,LU
3395,Luxembourg,Europe,Governance and socio-economic measures,economic measures,"Family-related leave has been extended to provide a solution for parents who are unable to provide care for their dependent child until the age of 12, respectively until at the age of 18 completed for a child with a disability, by other means.",ministry of social security,2020-04-01,LU
3396,Luxembourg,Europe,Public health measures,strengthening the public health system,"Contribution of ? 800,000 to the Coalition for Epidemic Preparedness Innovations (CEPI )",department of state,2020-04-01,LU
3397,Luxembourg,Europe,Public health measures,general recommendations,"Call to respect ""social distancing"" in shops open to the public, e.g. minimum 2m distance, one shopping trolley per person ",directorate general of the middle classes,2020-04-01,LU
3398,Luxembourg,Europe,Social distancing,Public services closure,"The technical inspection of cars continues, though are limited to the essential services and with the implementation of hygiene measures",ministry of mobility and public works ,2020-04-01,LU
3399,Luxembourg,Europe,Social distancing,Public services closure,RGTR traffic will be suspended every Sunday until further notice; the regular lines run according to the school holidays schedule during the other days of the week; suspension of a number of public busses in the cities,ministry of mobility and public works ,2020-04-01,LU
3400,Luxembourg,Europe,Social distancing,limit public gatherings,"The deadlines within the legal system, which would require presence of a person, are being suspended across legal areas",ministry of justice,2020-04-01,LU
